tablet_id,target,occurrence_index,site,position_class,numeral_present,arithmetically_eligible,primary_exclusion_reason,flag_ambiguous,flag_missing,flag_damaged,n_preceding_entries,computed_sum,recorded_total,residual,relative_residual,arithmetic_outcome,sectioning_rule
HT1,KI-RO,0,Haghia Triada,NON_TERMINAL,True,False,MISSING,False,True,False,0,,197.0,,,NOT_TESTABLE,A
HT9a,KU-RO,0,Haghia Triada,NEAR_TERMINAL,True,True,,False,False,False,7,29.0,31.0,2.0,0.06451612903225806,UNEXPLAINED_MISMATCH,A
HT9b,KU-RO,0,Haghia Triada,TERMINAL,True,True,,False,False,False,7,24.0,24.0,0.0,0.0,EXACT_CLOSURE,A
HT11a,KU-RO,0,Haghia Triada,NON_TERMINAL,True,True,,False,False,False,3,6.0,10.0,4.0,0.4,UNEXPLAINED_MISMATCH,A
HT11b,KU-RO,0,Haghia Triada,TERMINAL,True,True,,False,False,False,5,180.0,180.0,0.0,0.0,EXACT_CLOSURE,A
HT13,KU-RO,0,Haghia Triada,TERMINAL,True,True,,False,False,False,6,130.0,130.0,0.0,0.0,EXACT_CLOSURE,A
HT15,KI-RO,0,Haghia Triada,NEAR_TERMINAL,True,True,,False,False,False,2,1254.0,400.0,-854.0,2.135,UNEXPLAINED_MISMATCH,A
HT25b,KU-RO,0,Haghia Triada,NON_TERMINAL,True,False,MISSING,False,True,False,0,,16.0,,,NOT_TESTABLE,A
HT25b,KU-RO,1,Haghia Triada,TERMINAL,True,True,,False,False,False,2,52.0,52.0,0.0,0.0,EXACT_CLOSURE,A
HT27a,KU-RO,0,Haghia Triada,NON_TERMINAL,True,True,,False,False,False,8,322.0,335.0,13.0,0.03880597014925373,ROUNDING_COMPATIBLE,A
HT30,KI-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,5,34.0,,,,NOT_TESTABLE,A
HT34,KI-RO,0,Haghia Triada,NEAR_TERMINAL,True,True,,False,False,False,5,617.0,37.0,-580.0,15.675675675675675,UNEXPLAINED_MISMATCH,A
HT37,KI-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,2,7.0,,,,NOT_TESTABLE,A
HT39,KU-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,3,28.0,,,,NOT_TESTABLE,A
HT40,KU-RO,0,Haghia Triada,NEAR_TERMINAL,False,False,MISSING,False,True,False,2,341.0,,,,NOT_TESTABLE,A
HT46a,KU-RO,0,Haghia Triada,TERMINAL,True,True,,False,False,False,1,1.0,43.0,42.0,0.9767441860465116,UNEXPLAINED_MISMATCH,A
HT55a,KI-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,0,,,,,NOT_TESTABLE,A
HT67,KU-RO,0,Haghia Triada,NEAR_TERMINAL,True,False,MISSING,False,True,False,0,,420.0,,,NOT_TESTABLE,A
HT74,KU-RO,0,Haghia Triada,NEAR_TERMINAL,True,False,MISSING,False,True,False,0,,20.0,,,NOT_TESTABLE,A
HT85a,KU-RO,0,Haghia Triada,TERMINAL,True,True,,False,False,False,7,66.0,66.0,0.0,0.0,EXACT_CLOSURE,A
HT88,KU-RO,0,Haghia Triada,TERMINAL,True,True,,False,False,False,6,6.0,6.0,0.0,0.0,EXACT_CLOSURE,A
HT88,KI-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,3,33.0,,,,NOT_TESTABLE,A
HT89,KU-RO,0,Haghia Triada,NON_TERMINAL,True,True,,False,False,False,5,87.0,87.0,0.0,0.0,EXACT_CLOSURE,A
HT93b,KI-RO,0,Haghia Triada,TERMINAL,False,False,MISSING,False,True,False,1,165.0,,,,NOT_TESTABLE,A
HT94a,KU-RO,0,Haghia Triada,NON_TERMINAL,True,True,,False,False,False,5,111.0,110.0,-1.0,0.00909090909090909,ROUNDING_COMPATIBLE,A
HT94b,KU-RO,0,Haghia Triada,NON_TERMINAL,True,True,,False,False,False,5,5.0,5.0,0.0,0.0,EXACT_CLOSURE,A
HT94b,KI-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,0,,,,,NOT_TESTABLE,A
HT100,KU-RO,0,Haghia Triada,NON_TERMINAL,True,True,,False,False,False,5,93.0,97.0,4.0,0.041237113402061855,ROUNDING_COMPATIBLE,A
HT102,KU-RO,0,Haghia Triada,TERMINAL,True,True,,False,False,False,7,1070.0,1060.0,-10.0,0.009433962264150943,ROUNDING_COMPATIBLE,A
HT104,KU-RO,0,Haghia Triada,TERMINAL,True,True,,False,False,False,3,94.0,95.0,1.0,0.010526315789473684,ROUNDING_COMPATIBLE,A
HT109,KU-RO,0,Haghia Triada,NEAR_TERMINAL,True,True,,False,False,False,2,8.0,129.0,121.0,0.937984496124031,UNEXPLAINED_MISMATCH,A
HT110a,KU-RO,0,Haghia Triada,NEAR_TERMINAL,True,True,,False,False,False,2,21.0,100.0,79.0,0.79,UNEXPLAINED_MISMATCH,A
HT116b,KU-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,0,,,,,NOT_TESTABLE,A
HT117a,KU-RO,0,Haghia Triada,NON_TERMINAL,True,True,,False,False,False,10,10.0,10.0,0.0,0.0,EXACT_CLOSURE,A
HT117a,KI-RO,0,Haghia Triada,NON_TERMINAL,False,False,MISSING,False,True,False,0,,,,,NOT_TESTABLE,A
HT118,KU-RO,0,Haghia Triada,NEAR_TERMINAL,True,True,,False,False,False,7,50.0,30.0,-20.0,0.6666666666666666,UNEXPLAINED_MISMATCH,A
HT119,KU-RO,0,Haghia Triada,TERMINAL,True,True,,False,False,False,9,159.0,160.0,1.0,0.00625,ROUNDING_COMPATIBLE,A
HT122a,KU-RO,0,Haghia Triada,NEAR_TERMINAL,True,True,,False,False,False,16,22.0,31.0,9.0,0.2903225806451613,UNEXPLAINED_MISMATCH,A
